Sample Name	Parameter Value[Extraction Method]	Extract Name	Labeled Extract Name	Protocol REF	Parameter Value[NMR tube type]	Term Source REF	Term Accession Number	Parameter Value[Solvent]	Term Source REF	Term Accession Number	Parameter Value[Sample pH]	Parameter Value[Temperature]	Unit	Term Source REF	Term Accession Number	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[NMR Probe]	Term Source REF	Term Accession Number	Parameter Value[Number of transients]	Parameter Value[Pulse sequence name]	Parameter Value[Magnetic field strength]	Unit	Term Source REF	Term Accession Number	Acquisition Parameter Data File	Protocol REF	NMR Assay Name	Free Induction Decay Data File	Protocol REF	Data Transformation Name	Normalization Name	Derived Spectral Data File	Protocol REF	Metabolite Assignment File
TACERA-base-urine-11	Extraction	TACERA-base-urine-11		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-urine-11	FILES/RAW_DATA/TACERA-base-urine-11.zip	Data transformation	TACERA-base-urine-11	TACERA-base-urine-11		Metabolite identification	m_MTBLS1497_Urine_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-urine-12	Extraction	TACERA-base-urine-12		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-urine-12	FILES/RAW_DATA/TACERA-base-urine-12.zip	Data transformation	TACERA-base-urine-12	TACERA-base-urine-12		Metabolite identification	m_MTBLS1497_Urine_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-urine-13	Extraction	TACERA-base-urine-13		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-urine-13	FILES/RAW_DATA/TACERA-base-urine-13.zip	Data transformation	TACERA-base-urine-13	TACERA-base-urine-13		Metabolite identification	m_MTBLS1497_Urine_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-urine-14	Extraction	TACERA-base-urine-14		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-urine-14	FILES/RAW_DATA/TACERA-base-urine-14.zip	Data transformation	TACERA-base-urine-14	TACERA-base-urine-14		Metabolite identification	m_MTBLS1497_Urine_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-urine-15	Extraction	TACERA-base-urine-15		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-urine-15	FILES/RAW_DATA/TACERA-base-urine-15.zip	Data transformation	TACERA-base-urine-15	TACERA-base-urine-15		Metabolite identification	m_MTBLS1497_Urine_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-urine-16	Extraction	TACERA-base-urine-16		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-urine-16	FILES/RAW_DATA/TACERA-base-urine-16.zip	Data transformation	TACERA-base-urine-16	TACERA-base-urine-16		Metabolite identification	m_MTBLS1497_Urine_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-urine-17	Extraction	TACERA-base-urine-17		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-urine-17	FILES/RAW_DATA/TACERA-base-urine-17.zip	Data transformation	TACERA-base-urine-17	TACERA-base-urine-17		Metabolite identification	m_MTBLS1497_Urine_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-urine-18	Extraction	TACERA-base-urine-18		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-urine-18	FILES/RAW_DATA/TACERA-base-urine-18.zip	Data transformation	TACERA-base-urine-18	TACERA-base-urine-18		Metabolite identification	m_MTBLS1497_Urine_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-urine-19	Extraction	TACERA-base-urine-19		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-urine-19	FILES/RAW_DATA/TACERA-base-urine-19.zip	Data transformation	TACERA-base-urine-19	TACERA-base-urine-19		Metabolite identification	m_MTBLS1497_Urine_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-urine-20	Extraction	TACERA-base-urine-20		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-urine-20	FILES/RAW_DATA/TACERA-base-urine-20.zip	Data transformation	TACERA-base-urine-20	TACERA-base-urine-20		Metabolite identification	m_MTBLS1497_Urine_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-urine-21	Extraction	TACERA-base-urine-21		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-urine-21	FILES/RAW_DATA/TACERA-base-urine-21.zip	Data transformation	TACERA-base-urine-21	TACERA-base-urine-21		Metabolite identification	m_MTBLS1497_Urine_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-urine-22	Extraction	TACERA-base-urine-22		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-urine-22	FILES/RAW_DATA/TACERA-base-urine-22.zip	Data transformation	TACERA-base-urine-22	TACERA-base-urine-22		Metabolite identification	m_MTBLS1497_Urine_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-urine-23	Extraction	TACERA-base-urine-23		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-urine-23	FILES/RAW_DATA/TACERA-base-urine-23.zip	Data transformation	TACERA-base-urine-23	TACERA-base-urine-23		Metabolite identification	m_MTBLS1497_Urine_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-urine-24	Extraction	TACERA-base-urine-24		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-urine-24	FILES/RAW_DATA/TACERA-base-urine-24.zip	Data transformation	TACERA-base-urine-24	TACERA-base-urine-24		Metabolite identification	m_MTBLS1497_Urine_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-urine-25	Extraction	TACERA-base-urine-25		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-urine-25	FILES/RAW_DATA/TACERA-base-urine-25.zip	Data transformation	TACERA-base-urine-25	TACERA-base-urine-25		Metabolite identification	m_MTBLS1497_Urine_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-urine-26	Extraction	TACERA-base-urine-26		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-urine-26	FILES/RAW_DATA/TACERA-base-urine-26.zip	Data transformation	TACERA-base-urine-26	TACERA-base-urine-26		Metabolite identification	m_MTBLS1497_Urine_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-urine-27	Extraction	TACERA-base-urine-27		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-urine-27	FILES/RAW_DATA/TACERA-base-urine-27.zip	Data transformation	TACERA-base-urine-27	TACERA-base-urine-27		Metabolite identification	m_MTBLS1497_Urine_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-urine-28	Extraction	TACERA-base-urine-28		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-urine-28	FILES/RAW_DATA/TACERA-base-urine-28.zip	Data transformation	TACERA-base-urine-28	TACERA-base-urine-28		Metabolite identification	m_MTBLS1497_Urine_NMR_metabolite_profiling_v2_maf.tsv
