Sample Name	Parameter Value[Extraction Method]	Extract Name	Labeled Extract Name	Protocol REF	Parameter Value[NMR tube type]	Term Source REF	Term Accession Number	Parameter Value[Solvent]	Term Source REF	Term Accession Number	Parameter Value[Sample pH]	Parameter Value[Temperature]	Unit	Term Source REF	Term Accession Number	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[NMR Probe]	Term Source REF	Term Accession Number	Parameter Value[Number of transients]	Parameter Value[Pulse sequence name]	Parameter Value[Magnetic field strength]	Unit	Term Source REF	Term Accession Number	Acquisition Parameter Data File	Protocol REF	NMR Assay Name	Free Induction Decay Data File	Protocol REF	Data Transformation Name	Normalization Name	Derived Spectral Data File	Protocol REF	Metabolite Assignment File
TACERA-base-sera-11	Extraction	TACERA-base-sera-11		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-11	FILES/RAW_DATA/TACERA-base-sera-11.zip	Data transformation	TACERA-base-sera-11	TACERA-base-sera-11		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-sera-12	Extraction	TACERA-base-sera-12		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-12	FILES/RAW_DATA/TACERA-base-sera-12.zip	Data transformation	TACERA-base-sera-12	TACERA-base-sera-12		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-sera-13	Extraction	TACERA-base-sera-13		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-13	FILES/RAW_DATA/TACERA-base-sera-13.zip	Data transformation	TACERA-base-sera-13	TACERA-base-sera-13		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-sera-14	Extraction	TACERA-base-sera-14		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-14	FILES/RAW_DATA/TACERA-base-sera-14.zip	Data transformation	TACERA-base-sera-14	TACERA-base-sera-14		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-sera-15	Extraction	TACERA-base-sera-15		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-15	FILES/RAW_DATA/TACERA-base-sera-15.zip	Data transformation	TACERA-base-sera-15	TACERA-base-sera-15		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-sera-16	Extraction	TACERA-base-sera-16		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-16	FILES/RAW_DATA/TACERA-base-sera-16.zip	Data transformation	TACERA-base-sera-16	TACERA-base-sera-16		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-sera-17	Extraction	TACERA-base-sera-17		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-17	FILES/RAW_DATA/TACERA-base-sera-17.zip	Data transformation	TACERA-base-sera-17	TACERA-base-sera-17		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-sera-18	Extraction	TACERA-base-sera-18		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-18	FILES/RAW_DATA/TACERA-base-sera-18.zip	Data transformation	TACERA-base-sera-18	TACERA-base-sera-18		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-sera-19	Extraction	TACERA-base-sera-19		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-19	FILES/RAW_DATA/TACERA-base-sera-19.zip	Data transformation	TACERA-base-sera-19	TACERA-base-sera-19		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-sera-20	Extraction	TACERA-base-sera-20		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-20	FILES/RAW_DATA/TACERA-base-sera-20.zip	Data transformation	TACERA-base-sera-20	TACERA-base-sera-20		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
